"awardId","awardType","game","code","name","verb","d_winner_id","d_winner_count","g_winner_id","g_winner_count"
1,P,tf,domination,Dominator,dominations,,,223,40
2,V,tf,domination,Most dominated,times got dominated,,,2,14
3,P,tf,revenge,King of vengence,revenges,,,67668,12
4,W,tf,tf_projectile_pipe_remote,Remote Demolition Man,pipe bomb kills,,,256,31
5,W,tf,tf_projectile_pipe,Demolition Man,pipe bomb kills,,,9434,15
6,W,tf,sniperrifle,Top Sniper,snipings,,,2,41
7,W,tf,smg,Submachine gun,smg kills,,,2,4
8,W,tf,shotgun_soldier,Shotgun Soldier,shotgun kills,,,10345,10
9,W,tf,shotgun_pyro,Shotgun Pyro,shotgun kills,,,201,1
10,W,tf,shotgun_primary,Shotgun,shotgun kills,,,67668,8
11,W,tf,scattergun,Fast and Furious,scattergun kills,,,223,17
12,W,tf,revolver,Wayne,revolver kills,,,,
13,W,tf,pistol,Pistol,pistol kills,,,12279,7
14,W,tf,allsentrykills,Engineer,sentry kills,,,3288,15
15,W,tf,minigun,Terminator,minigun kills,,,9434,28
16,W,tf,knife,Stabber,knifings,,,52846,14
17,W,tf,flamethrower,Pyro,flame burnings,,,52846,24
18,W,tf,bat,Baseball freak,bat kills,,,3288,1
19,O,tf,pointcaptured,Capturer,checkpoint captures,,,9434,26
21,O,tf,captureblocked,Blocker,checkpoint blockings,,,223,28
22,O,tf,uber,Uber,Ubers,,,225,31
23,W,tf,airstrike,Carpet Bomber,Air Strike kills,,,70739,5
24,W,tf,tf_projectile_rocket,Soldier,rocket kills,,,198,50
25,W,tf,wrench,Engineer on Rage,wrench kills,,,,
26,W,tf,shovel,Grave Digger,shovel kills,,,,
27,W,tf,fireaxe,Axe-O-Mania,axe kills,,,,
28,W,tf,bottle,Drunken Demo-ralizer,bottle kills,,,,
29,W,tf,bonesaw,The Saw,sawed bones,,,67668,2
30,W,tf,fists,Fisting king,fistings,,,9434,1
31,W,tf,club,Now that's a knife,machete kills,,,67668,3
32,W,tf,pistol_scout,Scout Pistol,pistol kills,,,70739,2
33,W,tf,shotgun_hwg,Shotgun Heavy,shotgun kills,,,9434,18
34,W,tf,syringegun_medic,The Needler,syringe kills,,,2,5
35,W,tf,axtinguisher,Axtinguisher,kills with the axtinguisher,,,49173,8
36,W,tf,backburner,Asses to ashes,burned backs,,,9434,2
37,W,tf,blutsauger,Blutsauger,times sucked blood,,,3288,6
38,W,tf,flaregun,SOS Signal gone wrong,flare gun kills,,,223,8
39,W,tf,gloves,Heavy surgery,KGB kills,,,256,2
40,W,tf,natascha,Nataschas Friend,Natascha kills,,,11529,12
41,W,tf,ubersaw,Ubersaw,kills with ubersaw,,,52846,4
42,W,tf,deflect_flare,Deflected Flare,kills with deflected flare,,,,
43,W,tf,telefrag,Lucky Duck,kills by telefrag,,,74104,1
44,W,tf,deflect_promode,Deflected Grenade,kills with deflected grenade,,,198,1
45,W,tf,deflect_rocket,On the Rebound,kills with deflected rocket,,,223,3
46,W,tf,deflect_sticky,Deflected Sticky,kills with deflected sticky,,,,
47,W,tf,deflect_arrow,Deflected Arrow,kills with deflected arrow,,,,
48,W,tf,taunt_heavy,POW! Ha Ha,kills with heavy taunt,,,,
49,W,tf,taunt_pyro,Hadouken,kills with Hadouken,,,,
50,W,tf,mostkills,Most Kills,kills,,,223,45760
51,W,tf,bonuspoints,Most Bonus Points,bonus points,,,2,1481
52,O,tf,sandvich,Hungry Hungry Heavy,sandviches eaten,,,2,4
54,O,tf,flagevent_defended,Defender of the Flag,flag defenses,,,9434,10
55,O,tf,flagevent_captured,The Mad Capper,flag captures,,,78482,4
56,O,tf,killedobject_obj_dispenser,NO METAL FOR YOU!,dispensers destroyed,,,9434,23
57,O,tf,killedobject_obj_sentrygun,Say no to sentries,sentry guns destroyed,,,3288,26
58,O,tf,killedobject_obj_sentrygun_mini,Say no to mini sentries,mini sentry guns destroyed,,,256,27
59,O,tf,player_builtobject_obj_sentrygun,Bob the Builder,sentry guns built,,,256,33
60,O,tf,builtobject_obj_sentrygun_mini,Mini Bob the Builder,mini sentry guns built,,,12279,47
61,O,tf,player_builtobject_obj_attachment_sapper,Super Sapper,sappers placed,,,52846,37
63,P,tf,stun,Absolutely Stunning,stuns,,,223,88
64,O,tf,pyro_extinguish,Give It a Little Blow,extinguishes with Flamethrower,,,49173,26
65,O,tf,sniper_extinguish,Douser,extinguishes with Jarate,,,2,4
66,O,tf,medic_extinguish,Medic Extinguish,extinguishes with Heal Gun,,,72861,24
67,O,tf,engineer_extinguish,Engineer Extinguish,extinguishes with Dispenser,,,256,11
68,W,tf,force_a_nature,Who wants some of this?,kills with the Force-A-Nature,,,256,1
69,W,tf,ambassador,Diplomatic Immunity,kills with the Ambassador,,,,
70,W,tf,tf_projectile_arrow,Quivering Fool,kills with the Huntsman,,,81665,11
71,W,tf,taunt_spy,Dangerous Crab,spy taunt kills,,,,
72,W,tf,taunt_sniper,Robin Hood,sniper taunt kills,,,67668,2
73,P,tf,shield_blocked,Razor Breakin,razorbacks broken,,,,
74,V,tf,shield_blocked,Broken Back,razorbacks broken (sniper),,,,
75,P,tf,jarate,Urine' For A Surprise,jarates,,,2,34
76,V,tf,jarate,Yellow Bellied Spies,times a jarate victim,,,223,6
77,W,tf,ai_flamethrower,Got a light?,Nostromo Napalmer,,,3288,1
78,O,tf,mvp1,Most Valuable Player,wins as Most Valuable Player,,,9434,9
79,W,tf,taunt_scout,Not even winded,scout taunt kills,,,,
80,W,tf,sandman,Batter Up!,kills with the Sandman,,,,
81,W,tf,rocketlauncher_directhit,Skill Rockets,kills with the Direct Hit,,,27950,12
82,W,tf,unique_pickaxe,Prospectors Piercings,kills with the Equalizer,,,,
83,W,tf,sword,Swords a Slicing,kills with the Eyelander,,,70739,1
84,W,tf,sticky_resistance,Skill Stickies,kills with the Scottish Resistance,,,78482,2
85,W,tf,taunt_demoman,Sword Swallowers,Demoman taunt kills,,,,
86,W,tf,taunt_soldier,Good-bye Cruel Worlds,Soldier taunt kills,,,,
87,O,tf,buff_deployed,Rootin Tootin Shootin,Buffs deployed,,,78412,15
88,O,tf,defended_medic,Get behind me doctor!,Medics defended,,,9434,16
89,W,tf,demoshield,Got something for ya!,kills with the Chargin' Targe,,,,
90,O,tf,player_builtobject_obj_dispenser,Dispenser Here!,Dispensers built,,,256,31
91,P,tf,steal_sandvich,"Mmm, Ham",stolen Sandviches,,,9434,2
92,O,tf,teleport,One to beam up!,players Teleported,,,78482,99
93,W,tf,tf_projectile_arrow_fire,Fire Flight,kills with the Flaming Huntsman,,,9434,1
94,O,tf,killed_charged_medic,Juice Loosener,Charged Medics killed,,,223,2
95,W,tf,ball,Fly Ball,kills with the Baseball,,,256,1
96,W,tf,taunt_medic,Oktoberfest!,medic taunt kills,,,,
97,W,tf,paintrain,Come on ride THE PAIN TRAIN,kills with The Pain Train,,,201,1
98,W,tf,sledgehammer,Homewreckin,kills with The Homewrecker,,,,
99,W,tf,tribalkukri,The Tribalman's Shiv,kills with The Tribalman's Shiv,,,,
100,W,tf,battleaxe,Scotsman's Skullcutter,kills with The Scotsman's Skullcutter,,,67668,1
101,W,tf,frontier_justice,Justified Kills,kills with the Frontier Justice,,,81665,9
102,W,tf,obj_minisentry,It's Little and Cute and Ben's Sister Likes It,Mini Sentry Gun kills,,,12279,14
103,W,tf,robot_arm,Slings Slung,kills with the Gunslinger,,,78482,1
104,W,tf,robot_arm_combo_kill,"One, Two, Punch!",Gunslinger Combo Kills,,,223,1
105,W,tf,robot_arm_blender_kill,Mixed ya right up!,Engineer taunt kills (Gunslinger),,,,
106,W,tf,bleed_kill,We've got a bleeder,bleed kills,,,9434,1
107,W,tf,southern_hospitality,Southern This!,kills with the Southern Hospitality,,,,
108,W,tf,taunt_guitar_kill,Despite all my rage there's a Guitar on your head,Engineer taunt kills (Guitar),,,,
109,W,tf,wrangler_kill,Rustlers Wrangled,kills with the Wrangler,,,,
110,W,tf,battleneedle,Take your Vita-Saws,kills with The Vita-Saw,,,27950,2
111,W,tf,powerjack,Powerjacking,kills with The Powerjack,,,78482,1
112,W,tf,degreaser,Degreased,kills with The Degreaser,,,223,11
113,W,tf,shortstop,Stopping Short,kills with The Shortstop,,,12279,15
114,W,tf,holymackerel,Something's Fishy,kills with The Holy Mackerel,,,,
115,W,tf,letranger,Ranged,kills with the L'Etranger,,,9434,7
116,W,tf,eternal_reward,It goes on and on...,kills with Your Eternal Reward,,,49173,13
117,W,tf,fryingpan,Fried Egg,kills with the Frying Pan,,,2,1
118,W,tf,bushwacka,George Bushwacka,kills with The Bushwacka,,,2,2
119,W,tf,gloves_running_urgently,It's Urgent,kills with the Gloves of Running Urgently,,,71017,2
120,W,tf,blackbox,What's in the box?,kills with The Black Box,,,72861,9
121,W,tf,sydney_sleeper,Down Under,kills with The Sydney Sleeper,,,,
122,O,tf,dalokohs,Russian Diabetes,Dalokohs eaten,,,71017,32
123,O,tf,hit_by_train,Flattened,deaths from train,,,,
124,O,tf,headshot,Headache,headshots,,,2,72
126,O,tf,steak,"Don't Run, Its Just Steak",Buffalo Steak Sandviches eaten,,,256,12
127,W,tf,claidheamohmor,Claidheamohmor,Claidheamohmor kills,,,,
128,W,tf,back_scratcher,Rakes Wrecked,Back Scratcher kills,,,,
129,W,tf,boston_basher,Boston Basher,Boston Basher kills,,,,
130,W,tf,steel_fists,My Fists They Are Made Of Steel!,kills with the Fists of Steel,,,27950,1
131,W,tf,amputator,Amputator,Amputator kills,,,3288,1
132,W,tf,crusaders_crossbow,Bolts Blown,Crusader's Crossbow kills,,,72861,4
133,W,tf,ullapool_caber,Caber's Clubbed,Caber bash kills,,,223,2
134,W,tf,ullapool_caber_explosion,Boom Sticka,Caber BOOM kills,,,223,1
135,W,tf,loch_n_load,Loch-n-Load'd,Loch-n-Load kills,,,223,17
136,W,tf,brass_beast,Brass Beast,Brass Beast kills,,,81665,8
137,W,tf,warrior_spirit,Clawed Candyasses,Warrior's Spirit kills,,,,
