"id","pattern","position"
1,[AXXXXX],EITHER
2,|AXXXXX|,EITHER
3,(AXXXXX),EITHER
4,{AXXXXX},EITHER
5,-=AXXX=-,START
6,=AXXXXX=,START
7,-AXXXXX-,START
8,=[AXXXX]=,START
9,-=|AXXXXXX|=-,EITHER
10,-=[AXXXXXX]=-,EITHER
11,-=]AXXXXXX[=-,EITHER
12,~{|AXXXXXX|}~,EITHER
13,-|-AXXXXXX-|-,EITHER
14,-(AXXXXXX)-,EITHER
15,::AXXXXXX::,EITHER
16,<<AXXXXXX>>,EITHER
17,{{AXXXXXX}},EITHER
18,((AXXXXXX)),EITHER
19,.|AXXXXXX|.,EITHER
20,--AXXXXXX--,EITHER
21,AXXXXXX/,EITHER
22,-)AXXXXXX(-,EITHER
23,/AXXXXXX,EITHER
24,//AXXXXXX,EITHER
25,_AXXXXXX_,EITHER
26,_=|AXXXXXX|=_,EITHER
27,*AXXXXXX*,EITHER
28,.:AXXXXXX:,START
29,[(AXXXXXX)],EITHER
30,Heavy Is ,START
31,AXXXXX|,START
32,| balancemod.tf,END
33,AXXXXX |,EITHER
