"id","eventTime","serverId","map","playerId","message_mode","message"
1325814,"2024-01-01 11:43:06",11,workshop/pl_decoy_robo_rc3.ugc3035513839,87245,1,:)
1325813,"2024-01-01 11:43:06",11,workshop/pl_decoy_robo_rc3.ugc3035513839,87245,1,i guess i will be the funny annoying spy
1325810,"2024-01-01 11:42:42",11,workshop/pl_decoy_robo_rc3.ugc3035513839,25413,2,sniper 200 hpo
1325811,"2024-01-01 11:43:06",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78412,2,"599"
1325812,"2024-01-01 11:43:06",11,workshop/pl_decoy_robo_rc3.ugc3035513839,562,1,!cr
1325809,"2024-01-01 11:42:35",11,workshop/pl_decoy_robo_rc3.ugc3035513839,87245,1,!o
1325807,"2024-01-01 11:42:05",11,workshop/pl_decoy_robo_rc3.ugc3035513839,562,1,!cr
1325808,"2024-01-01 11:42:06",11,workshop/pl_decoy_robo_rc3.ugc3035513839,56857,2,el snipoh
1325806,"2024-01-01 11:42:03",11,workshop/pl_decoy_robo_rc3.ugc3035513839,87245,1,wtf i tried to do
1325805,"2024-01-01 11:41:44",11,workshop/pl_decoy_robo_rc3.ugc3035513839,71017,1,does sunstick fireball not work?
1325803,"2024-01-01 11:41:30",11,workshop/pl_decoy_robo_rc3.ugc3035513839,2,1,!cr
1325804,"2024-01-01 11:41:33",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78412,1,!fp
1325802,"2024-01-01 11:41:21",11,workshop/pl_decoy_robo_rc3.ugc3035513839,70657,1,FIRST EVER BLEED KILL IN MM
1325800,"2024-01-01 11:41:13",11,workshop/pl_decoy_robo_rc3.ugc3035513839,70657,1,WOW
1325801,"2024-01-01 11:41:14",11,workshop/pl_decoy_robo_rc3.ugc3035513839,9434,1,amazing 
1325798,"2024-01-01 11:41:13",11,workshop/pl_decoy_robo_rc3.ugc3035513839,70657,1,BLEED KILL
1325799,"2024-01-01 11:41:13",11,workshop/pl_decoy_robo_rc3.ugc3035513839,70657,1,BLEED KILL
1325797,"2024-01-01 11:40:52",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78412,1,here boss house
1325796,"2024-01-01 11:40:40",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78482,1,what is my luck ffs
1325795,"2024-01-01 11:40:35",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78482,1,huh???
1325794,"2024-01-01 11:40:10",11,workshop/pl_decoy_robo_rc3.ugc3035513839,87245,1,:(
1325793,"2024-01-01 11:40:10",11,workshop/pl_decoy_robo_rc3.ugc3035513839,562,1,!cr
1325792,"2024-01-01 11:40:10",11,workshop/pl_decoy_robo_rc3.ugc3035513839,87245,1,and my fps is dying
1325791,"2024-01-01 11:40:10",11,workshop/pl_decoy_robo_rc3.ugc3035513839,87245,1,i dont know what to do already
1325790,"2024-01-01 11:40:09",11,workshop/pl_decoy_robo_rc3.ugc3035513839,562,1,!cr
1325789,"2024-01-01 11:40:09",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78482,1,it's just not a good base for a map
1325788,"2024-01-01 11:40:09",11,workshop/pl_decoy_robo_rc3.ugc3035513839,12279,1,so the third cap is almost guaranteed after
1325787,"2024-01-01 11:40:09",11,workshop/pl_decoy_robo_rc3.ugc3035513839,2,2,just deathball on the cart
1325786,"2024-01-01 11:40:09",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78482,1,decoy is the smallest map in the game
1325785,"2024-01-01 11:40:08",11,workshop/pl_decoy_robo_rc3.ugc3035513839,12279,1,we have to keep them in spawn to cap second
1325784,"2024-01-01 11:40:07",11,workshop/pl_decoy_robo_rc3.ugc3035513839,56857,1,both spawns suck
1325783,"2024-01-01 11:40:03",11,workshop/pl_decoy_robo_rc3.ugc3035513839,2,1,!cr
1325782,"2024-01-01 11:40:02",11,workshop/pl_decoy_robo_rc3.ugc3035513839,83202,1,!cr
1325781,"2024-01-01 11:40:01",11,workshop/pl_decoy_robo_rc3.ugc3035513839,12279,1,this map is kinda flawed I think
1325780,"2024-01-01 11:38:25",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78482,1,first ever human win on attack
1325779,"2024-01-01 11:38:22",11,workshop/pl_decoy_robo_rc3.ugc3035513839,70657,1,rtv
1325778,"2024-01-01 11:38:17",11,workshop/pl_decoy_robo_rc3.ugc3035513839,2,1,!cr
1325777,"2024-01-01 11:38:17",11,workshop/pl_decoy_robo_rc3.ugc3035513839,83202,1,rtv
1325776,"2024-01-01 11:38:09",11,workshop/pl_decoy_robo_rc3.ugc3035513839,83202,1,ass map
1325775,"2024-01-01 11:38:07",11,workshop/pl_decoy_robo_rc3.ugc3035513839,27950,1,!cr
1325774,"2024-01-01 11:37:39",11,workshop/pl_decoy_robo_rc3.ugc3035513839,67668,1,we're all in this together bro
1325773,"2024-01-01 11:37:28",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78482,1,like actually
1325771,"2024-01-01 11:37:12",11,workshop/pl_decoy_robo_rc3.ugc3035513839,27950,1,!cr
1325772,"2024-01-01 11:37:28",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78482,1,this map sucks
1325770,"2024-01-01 11:37:03",11,workshop/pl_decoy_robo_rc3.ugc3035513839,27950,2,we need 1 heavy hitscan
1325769,"2024-01-01 11:36:46",11,workshop/pl_decoy_robo_rc3.ugc3035513839,562,1,!cr
1325768,"2024-01-01 11:36:46",11,workshop/pl_decoy_robo_rc3.ugc3035513839,70657,2,WE NEED THE TIME
1325767,"2024-01-01 11:36:43",11,workshop/pl_decoy_robo_rc3.ugc3035513839,70657,2,CART
1325766,"2024-01-01 11:36:14",11,workshop/pl_decoy_robo_rc3.ugc3035513839,56857,2,"600 ish"
1325765,"2024-01-01 11:36:14",11,workshop/pl_decoy_robo_rc3.ugc3035513839,56857,2,bazooka low
1325764,"2024-01-01 11:35:54",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78412,1,...
1325763,"2024-01-01 11:35:51",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78412,2,WHAT
1325762,"2024-01-01 11:35:05",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78482,2,THE CART
1325760,"2024-01-01 11:34:32",11,workshop/pl_decoy_robo_rc3.ugc3035513839,56857,2,pyro on cart
1325761,"2024-01-01 11:35:00",11,workshop/pl_decoy_robo_rc3.ugc3035513839,83202,1,!cr
1325759,"2024-01-01 11:34:31",11,workshop/pl_decoy_robo_rc3.ugc3035513839,83202,1,!cr
1325758,"2024-01-01 11:34:29",11,workshop/pl_decoy_robo_rc3.ugc3035513839,56857,2,ahem
1325756,"2024-01-01 11:33:07",11,workshop/pl_decoy_robo_rc3.ugc3035513839,562,2,!cr
1325757,"2024-01-01 11:33:43",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78482,2,Sniper!
1325755,"2024-01-01 11:32:23",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78412,2,no thx
1325754,"2024-01-01 11:32:19",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78412,2,!join
1325753,"2024-01-01 11:32:14",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78412,2,...
1325752,"2024-01-01 11:32:13",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78412,1,wrf
1325751,"2024-01-01 11:32:12",11,workshop/pl_decoy_robo_rc3.ugc3035513839,562,2,!cr
1325750,"2024-01-01 11:31:30",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78482,1,it just applies the extra clip size twice lol
1325748,"2024-01-01 11:30:30",11,workshop/pl_decoy_robo_rc3.ugc3035513839,2,2,maybe somewhere around this bend?
1325749,"2024-01-01 11:30:35",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78482,1,no that's a buff from bmod
1325747,"2024-01-01 11:29:18",11,workshop/pl_decoy_robo_rc3.ugc3035513839,56857,1,soo far i see 0 changes?
1325746,"2024-01-01 11:29:15",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78412,2,Sebiromanes nah sus
1325745,"2024-01-01 11:29:15",11,workshop/pl_decoy_robo_rc3.ugc3035513839,74104,1,that tele was only 5 seconds of walking away
1325744,"2024-01-01 11:29:15",11,workshop/pl_decoy_robo_rc3.ugc3035513839,56857,1,lets see if it still sucks
1325743,"2024-01-01 11:29:11",11,workshop/pl_decoy_robo_rc3.ugc3035513839,56857,1,RC3
1325742,"2024-01-01 11:28:55",11,workshop/pl_decoy_robo_rc3.ugc3035513839,78412,2,!tp
1325741,"2024-01-01 11:27:30",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,9434,1,dane is always good
1325739,"2024-01-01 11:27:29",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,2,1,engi is good
1325740,"2024-01-01 11:27:30",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,74104,1,but at first???
1325738,"2024-01-01 11:27:29",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,56857,1,soo much for an roof
1325736,"2024-01-01 11:27:00",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,83202,1,gg
1325737,"2024-01-01 11:27:26",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,74104,1,why do we have an engi????!??!?!??!
1325734,"2024-01-01 11:26:42",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,74104,1,we don't need an engi
1325735,"2024-01-01 11:26:50",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,83202,1,!cr
1325733,"2024-01-01 11:26:24",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,81665,1,!cr
1325732,"2024-01-01 11:26:11",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,78412,2,!cr
1325731,"2024-01-01 11:25:42",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,74104,1,!cr
1325730,"2024-01-01 11:25:30",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,78412,2,!cr
1325728,"2024-01-01 11:25:07",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,70657,2,lol
1325729,"2024-01-01 11:25:07",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,562,1,alp you lucky mf
1325727,"2024-01-01 11:24:55",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,74104,1,!cr
1325726,"2024-01-01 11:24:48",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,83202,2,yeah
1325725,"2024-01-01 11:24:46",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,56857,2,soo much for roof eh?
1325724,"2024-01-01 11:24:40",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,81665,1,!cr
1325722,"2024-01-01 11:24:21",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,78412,2,!cr
1325723,"2024-01-01 11:24:36",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,78412,2,!cr
1325720,"2024-01-01 11:24:02",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,78412,2,!stuck
1325721,"2024-01-01 11:24:08",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,78412,2,imsuck
1325719,"2024-01-01 11:23:59",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,71017,1,YOU FOOLS THEY'VE TAKEN THE ROOF
1325718,"2024-01-01 11:23:49",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,81665,1,!cr
1325717,"2024-01-01 11:23:35",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,71017,1,THE ROOF
1325716,"2024-01-01 11:23:21",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,56857,2,bomb?
1325715,"2024-01-01 11:22:34",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,56857,2,engie on 1st cap kinda sucks
1325714,"2024-01-01 11:22:34",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,71017,2,hoovy
1325712,"2024-01-01 11:22:34",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,83202,1,!cr
1325713,"2024-01-01 11:22:34",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,83202,1,!cr
1325711,"2024-01-01 11:22:34",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,74104,2,because we diodn't have an all mighty crit heavy ):<
1325710,"2024-01-01 11:22:34",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,83202,2,i should stay as engie
1325708,"2024-01-01 11:22:34",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,9434,2,farm whuh
1325709,"2024-01-01 11:22:34",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,70657,2,shield
1325706,"2024-01-01 11:22:33",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,70657,2,farm
1325707,"2024-01-01 11:22:34",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,70657,1,pls
1325705,"2024-01-01 11:22:33",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,78412,1,!cr
1325704,"2024-01-01 11:22:33",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,81665,1,!cr
1325703,"2024-01-01 11:22:33",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,78412,1,!cr
1325702,"2024-01-01 11:22:33",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,81665,2,they pushed in and won
1325701,"2024-01-01 11:22:33",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,83202,1,!cr
