"id","eventTime","serverId","map","playerId","victimId","actionId","bonus","pos_x","pos_y","pos_z","pos_victim_x","pos_victim_y","pos_victim_z"
3368295,"2023-11-19 11:07:38",4,cp_sunshine,86665,2,16,1,-3204,2592,-319,-3445,2601,-319
3368294,"2023-11-19 11:07:36",4,cp_sunshine,223,49173,16,1,-4218,2876,-191,-3215,2444,-319
3368293,"2023-11-19 11:07:35",4,cp_sunshine,223,86667,16,1,-3960,2536,-191,-3573,2456,-228
3368292,"2023-11-19 11:07:34",4,cp_sunshine,223,86667,49,0,-3953,2606,-192,-3604,2482,-274
3368291,"2023-11-19 11:07:31",4,cp_sunshine,52846,83202,16,1,-3140,1919,-175,-3449,1699,-175
3368290,"2023-11-19 11:07:30",4,cp_sunshine,83202,52846,72,0,-3695,1537,-105,-3492,1657,-97
3368289,"2023-11-19 11:07:29",4,cp_sunshine,83202,2,72,0,-3695,1537,-105,-3495,1690,-112
3368288,"2023-11-19 11:07:29",4,cp_sunshine,83202,2,72,0,-3840,1436,-112,-3667,1652,-80
3368283,"2023-11-19 11:06:58",4,cp_sunshine,223,83202,49,0,-4216,3950,-80,-3635,3655,169
3368284,"2023-11-19 11:07:00",4,cp_sunshine,223,83202,20,0,,,,,,
3368285,"2023-11-19 11:07:22",4,cp_sunshine,52846,3288,16,1,-4077,2171,-118,-3874,2152,-175
3368286,"2023-11-19 11:07:24",4,cp_sunshine,52846,12279,16,1,-3861,2303,-175,-4095,1912,-175
3368287,"2023-11-19 11:07:29",4,cp_sunshine,83202,52846,72,0,-3840,1436,-112,-3814,1488,-112
3368282,"2023-11-19 11:06:55",4,cp_sunshine,3288,78412,16,1,-3413,3784,128,-3401,3646,128
3368281,"2023-11-19 11:06:32",4,cp_sunshine,49173,78412,83,2,-3293,1438,-64,-2899,2315,-48
3368280,"2023-11-19 11:06:27",4,cp_sunshine,3288,86666,16,1,-3104,3539,-135,-2472,3271,-12
3368279,"2023-11-19 11:06:09",4,cp_sunshine,223,12279,49,0,-3307,2914,-64,-2994,2472,-64
3368278,"2023-11-19 11:06:08",4,cp_sunshine,78412,225,16,1,-3089,3550,-143,-3364,3084,-319
3368277,"2023-11-19 11:05:49",4,cp_sunshine,81665,12279,49,0,-3361,3539,128,-3360,2789,-64
3368269,"2023-11-19 11:05:07",4,cp_sunshine,86667,2,29,5,,,,,,
3368270,"2023-11-19 11:05:11",4,cp_sunshine,86666,83202,16,1,-3510,2475,-63,-4276,2270,64
3368271,"2023-11-19 11:05:11",4,cp_sunshine,223,225,49,0,-3755,2828,-162,-3882,2571,108
3368272,"2023-11-19 11:05:32",4,cp_sunshine,225,86666,16,1,-3706,2464,260,-3724,2666,-83
3368273,"2023-11-19 11:05:37",4,cp_sunshine,86667,52846,29,5,,,,,,
3368274,"2023-11-19 11:05:43",4,cp_sunshine,225,78482,16,1,-3222,3023,-63,-2811,3470,-45
3368275,"2023-11-19 11:05:44",4,cp_sunshine,223,9434,49,0,-3706,3355,-60,-3014,3203,-66
3368276,"2023-11-19 11:05:48",4,cp_sunshine,70739,9434,16,1,-4421,3358,0,-2600,3276,-64
3368268,"2023-11-19 11:04:43",4,cp_sunshine,223,83202,49,0,-4048,2748,-192,-3344,2456,-320
3368267,"2023-11-19 11:04:41",4,cp_sunshine,223,49173,16,1,-4201,2698,-191,-3645,2844,-127
3368266,"2023-11-19 11:04:38",4,cp_sunshine,49173,78412,83,2,-4165,2505,64,-3172,2615,-14
3368265,"2023-11-19 11:04:21",4,cp_sunshine,78412,9434,16,1,-2884,3289,-64,-3962,2843,64
3368264,"2023-11-19 11:04:00",4,cp_sunshine,9434,2,16,1,-3968,2814,64,-3660,2811,-127
3368263,"2023-11-19 11:03:58",4,cp_sunshine,223,9434,49,0,-3621,2832,-128,-3898,2739,64
3368262,"2023-11-19 11:03:56",4,cp_sunshine,78412,86667,16,1,-3140,3589,64,-3267,3424,64
3368261,"2023-11-19 11:03:49",4,cp_sunshine,52846,86667,16,1,-3086,3056,-63,-3427,3047,-63
3368260,"2023-11-19 11:03:49",4,cp_sunshine,225,256,16,1,-4374,1921,-15,-3969,2511,64
3368259,"2023-11-19 11:03:46",4,cp_sunshine,12279,81665,16,1,-3627,1657,-104,-3456,1478,-111
3368258,"2023-11-19 11:03:28",4,cp_sunshine,49173,78412,49,0,-4264,2444,64,-3997,2616,64
3368257,"2023-11-19 11:03:27",4,cp_sunshine,12279,86666,16,1,-3855,1724,-133,-4489,1694,-15
3368256,"2023-11-19 11:03:26",4,cp_sunshine,86667,86666,29,5,,,,,,
3368255,"2023-11-19 11:03:23",4,cp_sunshine,86667,2,29,5,,,,,,
3368254,"2023-11-19 11:02:52",4,cp_sunshine,256,86665,16,1,-3839,1400,-62,-3163,1631,-63
3368253,"2023-11-19 11:02:50",4,cp_sunshine,3288,256,16,1,-4017,1696,-175,-3839,1400,-76
3368252,"2023-11-19 11:02:46",4,cp_sunshine,86665,223,16,1,-3372,1810,-175,-3168,2148,-30
3368251,"2023-11-19 11:02:44",4,cp_sunshine,223,3288,49,0,-3577,2115,-108,-3864,2185,-153
3368250,"2023-11-19 11:02:42",4,cp_sunshine,3288,52846,16,1,-3670,2157,-173,-3884,2057,-175
3368248,"2023-11-19 11:02:35",4,cp_sunshine,223,225,16,1,-3762,1772,-111,-3104,1659,-63
3368249,"2023-11-19 11:02:41",4,cp_sunshine,12279,52846,29,5,,,,,,
3368247,"2023-11-19 11:02:17",4,cp_sunshine,225,78412,16,1,-3080,1660,-63,-3480,1664,-79
3368246,"2023-11-19 11:01:39",4,cp_sunshine,223,9434,16,1,-3615,2760,-127,-3986,2731,64
3368245,"2023-11-19 10:59:51",4,cp_sunshine,86665,70739,16,1,1931,747,256,1991,846,257
3368244,"2023-11-19 10:59:45",4,cp_sunshine,72861,2,16,1,895,-1588,129,1081,-1487,129
3368243,"2023-11-19 10:59:41",4,cp_sunshine,52846,49173,72,0,1085,-1583,129,939,-1516,194
3368242,"2023-11-19 10:59:41",4,cp_sunshine,52846,9434,72,0,1085,-1583,129,928,-1516,200
3368241,"2023-11-19 10:59:41",4,cp_sunshine,52846,49173,72,0,1247,-2093,288,1239,-2130,341
3368237,"2023-11-19 10:59:24",4,cp_sunshine,49173,72861,49,0,1366,-1694,128,1213,-1821,136
3368238,"2023-11-19 10:59:26",4,cp_sunshine,67668,3288,16,1,1488,-2183,26,1476,-2074,31
3368239,"2023-11-19 10:59:28",4,cp_sunshine,52846,49173,16,1,1209,-1993,182,1218,-2080,240
3368240,"2023-11-19 10:59:40",4,cp_sunshine,52846,78482,72,0,1247,-2093,288,1239,-2130,341
3368233,"2023-11-19 10:59:14",4,cp_sunshine,49173,83202,16,1,878,-1650,129,1224,-1985,176
3368234,"2023-11-19 10:59:16",4,cp_sunshine,52846,78482,21,0,,,,,,
3368235,"2023-11-19 10:59:20",4,cp_sunshine,3288,223,16,1,1400,-2046,48,1743,-1935,82
