"awardTime","awardId","playerId","count","game"
"2019-08-26",1,223,29,tf
"2019-08-26",2,201,19,tf
"2019-08-26",3,201,8,tf
"2019-08-26",4,223,33,tf
"2019-08-26",5,230,23,tf
"2019-08-26",6,204,65,tf
"2019-08-26",7,282,5,tf
"2019-08-26",8,198,9,tf
"2019-08-26",9,201,2,tf
"2019-08-26",10,207,23,tf
"2019-08-26",11,200,19,tf
"2019-08-26",12,21,3,tf
"2019-08-26",13,212,4,tf
"2019-08-26",14,20,16,tf
"2019-08-26",15,215,48,tf
"2019-08-26",16,200,49,tf
"2019-08-26",17,223,67,tf
"2019-08-26",18,281,3,tf
"2019-08-26",19,190,11,tf
"2019-08-26",20,199,79,tf
"2019-08-26",21,223,21,tf
"2019-08-26",22,205,80,tf
"2019-08-26",23,208,1,tf
"2019-08-26",24,198,75,tf
"2019-08-26",25,20,3,tf
"2019-08-26",27,230,1,tf
"2019-08-26",28,212,1,tf
"2019-08-26",30,199,1,tf
"2019-08-26",31,282,2,tf
"2019-08-26",32,198,3,tf
"2019-08-26",34,2,1,tf
"2019-08-26",35,200,1,tf
"2019-08-26",36,272,3,tf
"2019-08-26",37,208,1,tf
"2019-08-26",38,198,5,tf
"2019-08-26",40,201,7,tf
"2019-08-26",41,220,2,tf
"2019-08-26",44,223,2,tf
"2019-08-26",45,223,4,tf
"2019-08-26",47,198,1,tf
"2019-08-26",48,20,2,tf
"2019-08-26",50,223,279,tf
"2019-08-26",51,223,1210,tf
"2019-08-26",53,200,47,tf
"2019-08-26",55,78,1,tf
"2019-08-26",56,223,12,tf
"2019-08-26",57,214,15,tf
"2019-08-26",58,190,27,tf
"2019-08-26",59,207,23,tf
"2019-08-26",60,259,58,tf
"2019-08-26",62,225,101,tf
"2019-08-26",63,190,122,tf
"2019-08-26",64,223,31,tf
"2019-08-26",65,199,10,tf
"2019-08-26",66,225,43,tf
"2019-08-26",67,209,10,tf
"2019-08-26",68,217,1,tf
"2019-08-26",70,199,67,tf
"2019-08-26",73,258,1,tf
"2019-08-26",74,247,1,tf
"2019-08-26",75,199,128,tf
"2019-08-26",76,2,22,tf
"2019-08-26",77,221,1,tf
"2019-08-26",78,223,8,tf
"2019-08-26",81,203,6,tf
"2019-08-26",82,223,1,tf
"2019-08-26",83,223,7,tf
"2019-08-26",84,208,3,tf
"2019-08-26",87,223,25,tf
"2019-08-26",88,2,15,tf
"2019-08-26",89,249,3,tf
"2019-08-26",91,190,1,tf
"2019-08-26",92,207,139,tf
"2019-08-26",93,199,3,tf
"2019-08-26",94,199,3,tf
"2019-08-26",101,218,6,tf
"2019-08-26",102,207,7,tf
"2019-08-26",103,212,4,tf
"2019-08-26",104,212,1,tf
"2019-08-26",106,247,1,tf
"2019-08-26",109,200,1,tf
"2019-08-26",110,204,1,tf
"2019-08-26",112,214,26,tf
"2019-08-26",115,200,2,tf
"2019-08-26",116,219,9,tf
"2019-08-26",117,258,3,tf
"2019-08-26",118,204,4,tf
"2019-08-26",120,223,29,tf
"2019-08-26",121,2,1,tf
"2019-08-26",124,2,58,tf
"2019-08-26",127,223,9,tf
"2019-08-26",132,225,7,tf
