"serverId","parameter","value","serverConfigId"
4,PlayerEventsCommand,hlx_sm_psay,2871
4,PlayerEventsCommandHint,hlx_sm_hint,2872
4,PlayerEventsCommandOSD,hlx_sm_msay,2873
4,ShowStats,"0",2874
4,SkillMode,"0",2875
4,SuicidePenalty,"0",2876
4,SwitchAdmins,"1",2877
4,BroadCastPlayerActions,"0",2857
4,ConnectAnnounce,"0",2858
4,DefaultDisplayEvents,"1",2859
4,DisplayResultsInBrowser,"1",2860
4,EnablePublicCommands,"1",2861
4,GameEngine,"3",2862
4,GameType,"0",2863
4,HLStatsURL,http://stats.balancemod.tf,2864
4,IgnoreBots,"1",2865
4,MinimumPlayersRank,"0",2866
4,MinPlayers,"10",2867
4,Mod,SOURCEMOD,2868
4,PlayerEvents,"1",2869
4,PlayerEventsAdminCommand,sm_chat,2870
6,PlayerEventsAdminCommand,sm_chat,2678
6,PlayerEvents,"1",2677
6,Mod,SOURCEMOD,2676
6,MinPlayers,"10",2675
6,MinimumPlayersRank,"0",2674
6,IgnoreBots,"1",2673
6,HLStatsURL,http://stats.balancemod.tf,2672
6,GameType,"0",2671
6,GameEngine,"3",2670
6,EnablePublicCommands,"1",2669
6,DisplayResultsInBrowser,"1",2668
6,DefaultDisplayEvents,"1",2667
6,ConnectAnnounce,"1",2666
6,BroadCastPlayerActions,"0",2665
6,BroadCastEventsCommandAnnounce,hlx_sm_csay,2664
11,DisplayResultsInBrowser,"1",2892
11,DefaultDisplayEvents,"1",2891
11,ConnectAnnounce,"0",2890
11,BroadCastPlayerActions,"0",2889
11,BroadCastEventsCommandAnnounce,hlx_sm_csay,2888
11,SuicidePenalty,"0",2908
11,SkillMode,"0",2907
11,ShowStats,"0",2906
11,PlayerEventsCommandOSD,hlx_sm_msay,2905
11,PlayerEventsCommandHint,hlx_sm_hint,2904
11,PlayerEventsCommand,hlx_sm_psay,2903
11,PlayerEventsAdminCommand,sm_chat,2902
11,PlayerEvents,"1",2901
11,EnablePublicCommands,"1",2893
11,GameEngine,"3",2894
11,GameType,"0",2895
11,HLStatsURL,http://stats.balancemod.tf,2896
11,IgnoreBots,"1",2897
11,MinimumPlayersRank,"0",2898
11,MinPlayers,"32",2899
11,Mod,SOURCEMOD,2900
6,PlayerEventsCommand,hlx_sm_psay,2679
6,PlayerEventsCommandHint,hlx_sm_hint,2680
6,PlayerEventsCommandOSD,hlx_sm_msay,2681
6,ShowStats,"0",2682
6,SkillMode,"0",2683
6,SuicidePenalty,"0",2684
