"timestamp","game","players","kills","headshots","servers","act_slots","max_slots"
1704581829,tf,87299,1476325,89873,5,5,125
1704581753,tf,87299,1476325,89873,5,4,125
1704581732,tf,87299,1476325,89873,5,4,125
1704581730,tf,87299,1476325,89873,5,4,125
1704581724,tf,87299,1476325,89873,5,4,125
1704581528,tf,87299,1476325,89873,5,5,125
1704581452,tf,87299,1476325,89873,5,5,125
1704581431,tf,87299,1476325,89873,5,4,125
1704581428,tf,87299,1476325,89873,5,4,125
1704581424,tf,87299,1476325,89873,5,3,125
1704581227,tf,87299,1476325,89873,5,4,125
1704581151,tf,87299,1476325,89873,5,5,125
1704581129,tf,87299,1476325,89873,5,3,125
1704581126,tf,87299,1476325,89873,5,4,125
1704581123,tf,87299,1476325,89873,5,4,125
1704580927,tf,87299,1476325,89873,5,5,125
1704580851,tf,87299,1476325,89873,5,5,125
1704580824,tf,87298,1476325,89873,5,5,125
1704580822,tf,87298,1476325,89873,5,5,125
1704580822,tf,87298,1476325,89873,5,5,125
1704580626,tf,87298,1476325,89873,5,4,125
1704580550,tf,87298,1476325,89873,5,7,125
1704580523,tf,87297,1476325,89873,5,6,125
1704580521,tf,87297,1476325,89873,5,6,125
1704580522,tf,87297,1476325,89873,5,6,125
1704580325,tf,87297,1476325,89873,5,5,125
1704580249,tf,87297,1476325,89873,5,2,125
1704580025,tf,87297,1476325,89873,5,7,125
1704579949,tf,87297,1476325,89873,5,6,125
1704579944,tf,87297,1476325,89873,5,7,125
1704579937,tf,87297,1476325,89873,5,6,125
1704579911,tf,87297,1476325,89873,5,6,125
1704579724,tf,87297,1476325,89873,5,7,125
1704579648,tf,87297,1476325,89873,5,5,125
1704579644,tf,87297,1476325,89873,5,6,125
1704579611,tf,87297,1476325,89873,5,6,125
1704579637,tf,87297,1476325,89873,5,7,125
1704579423,tf,87297,1476325,89873,5,5,125
1704579347,tf,87297,1476325,89873,5,5,125
1704579311,tf,87297,1476325,89873,5,4,125
1704579312,tf,87297,1476325,89873,5,4,125
1704579310,tf,87297,1476325,89873,5,4,125
1704579123,tf,87297,1476325,89873,5,6,125
1704579047,tf,87297,1476325,89873,5,6,125
1704579010,tf,87297,1476325,89873,5,5,125
1704579009,tf,87297,1476325,89873,5,6,125
1704579010,tf,87297,1476325,89873,5,6,125
1704578822,tf,87296,1476325,89873,5,4,125
1704578746,tf,87296,1476325,89873,5,4,125
1704578709,tf,87296,1476325,89873,5,3,125
1704578709,tf,87296,1476325,89873,5,3,125
1704578709,tf,87296,1476325,89873,5,3,125
1704578521,tf,87296,1476325,89873,5,5,125
1704577243,tf,87296,1476325,89873,5,4,125
1704577319,tf,87296,1476325,89873,5,4,125
1704577519,tf,87296,1476325,89873,5,3,125
1704577523,tf,87296,1476325,89873,5,4,125
1704577543,tf,87296,1476325,89873,5,4,125
1704577619,tf,87296,1476325,89873,5,4,125
1704577819,tf,87296,1476325,89873,5,2,125
1704577823,tf,87296,1476325,89873,5,2,125
1704577844,tf,87296,1476325,89873,5,4,125
1704577920,tf,87296,1476325,89873,5,4,125
1704578120,tf,87296,1476325,89873,5,5,125
1704578123,tf,87296,1476325,89873,5,5,125
1704578145,tf,87296,1476325,89873,5,5,125
1704578221,tf,87296,1476325,89873,5,5,125
1704578445,tf,87296,1476325,89873,5,4,125
1704495536,tf,87288,1476325,89873,5,4,125
1704495460,tf,87288,1476325,89873,5,4,125
1704495325,tf,87288,1476325,89873,5,5,125
1704495324,tf,87288,1476325,89873,5,5,125
1704495325,tf,87288,1476325,89873,5,5,125
1704495235,tf,87288,1476325,89873,5,2,125
1704495160,tf,87288,1476325,89873,5,6,125
1704495025,tf,87287,1476325,89873,5,3,125
1704495024,tf,87287,1476325,89873,5,3,125
1704495024,tf,87287,1476325,89873,5,3,125
1704494935,tf,87287,1476325,89873,5,4,125
1704494859,tf,87287,1476325,89873,5,3,125
1704494724,tf,87287,1476325,89873,5,5,125
1704494723,tf,87287,1476325,89873,5,5,125
1704494723,tf,87287,1476325,89873,5,5,125
1704494634,tf,87287,1476325,89873,5,4,125
1704494558,tf,87287,1476325,89873,5,1,125
1704494423,tf,87287,1476325,89873,5,5,125
1704494423,tf,87287,1476325,89873,5,5,125
1704494422,tf,87287,1476325,89873,5,5,125
1704494333,tf,87287,1476325,89873,5,4,125
1704494258,tf,87287,1476325,89873,5,4,125
1704494122,tf,87287,1476325,89873,5,4,125
1704494121,tf,87287,1476325,89873,5,4,125
1704494122,tf,87287,1476325,89873,5,4,125
1704494033,tf,87287,1476325,89873,5,4,125
1704493957,tf,87287,1476325,89873,5,3,125
1704493732,tf,87287,1476325,89873,5,4,125
1704493656,tf,87287,1476325,89873,5,5,125
1704493552,tf,87287,1476325,89873,5,3,125
1704493521,tf,87287,1476325,89873,5,4,125
1704493518,tf,87287,1476325,89873,5,4,125
1704493432,tf,87287,1476325,89873,5,4,125
1704493356,tf,87287,1476325,89873,5,4,125
1704493224,tf,87287,1476325,89873,5,5,125
1704493221,tf,87287,1476325,89873,5,5,125
1704493218,tf,87287,1476325,89873,5,5,125
1704493131,tf,87287,1476325,89873,5,5,125
1704493056,tf,87287,1476325,89873,5,4,125
1704492920,tf,87287,1476325,89873,5,5,125
1704492920,tf,87287,1476325,89873,5,5,125
1704492918,tf,87287,1476325,89873,5,5,125
1704492830,tf,87287,1476325,89873,5,4,125
1704492755,tf,87287,1476325,89873,5,4,125
1704492619,tf,87287,1476325,89873,5,4,125
1704492618,tf,87287,1476325,89873,5,4,125
1704492619,tf,87287,1476325,89873,5,5,125
1704492530,tf,87287,1476325,89873,5,4,125
1704492454,tf,87287,1476325,89873,5,5,125
1704492318,tf,87287,1476325,89873,5,5,125
1704492318,tf,87287,1476325,89873,5,4,125
1704492317,tf,87287,1476325,89873,5,4,125
1704492229,tf,87287,1476325,89873,5,4,125
1704492154,tf,87287,1476325,89873,5,4,125
1704491928,tf,87287,1476325,89873,5,3,125
1704491853,tf,87287,1476325,89873,5,5,125
1704491734,tf,87287,1476325,89873,5,4,125
1704491723,tf,87287,1476325,89873,5,4,125
1704491722,tf,87287,1476325,89873,5,4,125
1704491628,tf,87287,1476325,89873,5,5,125
1704491552,tf,87287,1476325,89873,5,5,125
1704491422,tf,87287,1476325,89873,5,5,125
1704491421,tf,87287,1476325,89873,5,5,125
1704491421,tf,87287,1476325,89873,5,5,125
1704491327,tf,87287,1476325,89873,5,4,125
1704491252,tf,87287,1476325,89873,5,4,125
1704491121,tf,87287,1476325,89873,5,5,125
1704491121,tf,87287,1476325,89873,5,5,125
1704491121,tf,87287,1476325,89873,5,5,125
1704491026,tf,87287,1476325,89873,5,4,125
1704490951,tf,87287,1476325,89873,5,4,125
1704490821,tf,87287,1476325,89873,5,5,125
1704490821,tf,87287,1476325,89873,5,5,125
1704490820,tf,87287,1476325,89873,5,5,125
1704490726,tf,87287,1476325,89873,5,3,125
1704490650,tf,87287,1476325,89873,5,5,125
1704490521,tf,87287,1476325,89873,5,5,125
1704490520,tf,87287,1476325,89873,5,5,125
1704490520,tf,87287,1476325,89873,5,5,125
1704490425,tf,87287,1476325,89873,5,4,125
1704490350,tf,87287,1476325,89873,5,5,125
1704490124,tf,87287,1476325,89873,5,4,125
1704490049,tf,87287,1476325,89873,5,5,125
1704489922,tf,87287,1476325,89873,5,5,125
1704489922,tf,87287,1476325,89873,5,5,125
1704489922,tf,87287,1476325,89873,5,5,125
1704489824,tf,87287,1476325,89873,5,4,125
1704489748,tf,87287,1476325,89873,5,5,125
1704489622,tf,87287,1476325,89873,5,4,125
1704489621,tf,87287,1476325,89873,5,4,125
1704489619,tf,87287,1476325,89873,5,4,125
1704489523,tf,87287,1476325,89873,5,3,125
1704489448,tf,87287,1476325,89873,5,4,125
1704489321,tf,87287,1476325,89873,5,3,125
